id	filename	md5	size	state
36101746-9c10-478e-96fb-8b47d057a6d4	36101746-9c10-478e-96fb-8b47d057a6d4/eaaacefc-a798-4b6e-8471-0fde96a80bb9.rna_seq.augmented_star_gene_counts.tsv	e442bf31d98890c4736b2d726f83931d	4236063	validated
36c7d3a4-193f-49fd-b367-e7aacc4eebe2	36c7d3a4-193f-49fd-b367-e7aacc4eebe2/cc1646da-11b3-40c7-b35e-1206f4517b36.rna_seq.augmented_star_gene_counts.tsv	eb346ef9f4f426a55630d25f275026a9	4219484	validated
38ec487d-0a4a-4287-9c14-4bfdb959b402	38ec487d-0a4a-4287-9c14-4bfdb959b402/32675d71-6f79-4b8f-ab7c-e2350b15875c.rna_seq.augmented_star_gene_counts.tsv	27afb72bae1bc85f4df940514d7490d2	4235385	validated
3976128b-36ba-4bf0-8121-867e89aba2c9	3976128b-36ba-4bf0-8121-867e89aba2c9/fec7a02d-1d67-412d-9d69-df7124864e7a.rna_seq.augmented_star_gene_counts.tsv	9fd77741af4d59ab2697eb01c9cf90d9	4237015	validated
3aa81439-d4cc-41ef-9568-e6a11c8b1b52	3aa81439-d4cc-41ef-9568-e6a11c8b1b52/a6a841ae-f63f-45ab-9a17-2288e12a9577.rna_seq.augmented_star_gene_counts.tsv	05bfeecde7362dbcbae722eb21ce6d96	4223188	validated
3ce6800e-9df0-45a7-9e18-7e141911e4e9	3ce6800e-9df0-45a7-9e18-7e141911e4e9/0c73a12d-b6a0-4ee0-9364-6744964e3526.rna_seq.augmented_star_gene_counts.tsv	a0f2516641e60c6c2abb721ab1d8fef3	4214329	validated
3d08a99f-46c1-4e06-a042-521a54ebbe1e	3d08a99f-46c1-4e06-a042-521a54ebbe1e/02f6c9d4-8296-4e00-9e78-4f4d8c942340.rna_seq.augmented_star_gene_counts.tsv	ac1df830521fd8fc154b3a640bed941c	4226383	validated
3e6105ba-3a23-4ac6-bf0d-1193fb2e679e	3e6105ba-3a23-4ac6-bf0d-1193fb2e679e/812033b2-3784-44bf-8913-56307b267ea9.rna_seq.augmented_star_gene_counts.tsv	10f9cdf7af7652974510dcd1a9457854	4231014	validated
3f474548-c7b2-4d5e-9f8d-03c800a094fe	3f474548-c7b2-4d5e-9f8d-03c800a094fe/3db0576d-969f-4cb6-9e5d-51407b953ef4.rna_seq.augmented_star_gene_counts.tsv	d80b1ad9d5dc15ab9a94d1d713c0e802	4266272	validated
40dba5d9-ce2e-483b-b4a7-19fbca8158e5	40dba5d9-ce2e-483b-b4a7-19fbca8158e5/dc3ac0d3-d862-4761-ac12-60bb4d6758c1.rna_seq.augmented_star_gene_counts.tsv	9a694d0d5914d8e5193fd1f5f60ca4d8	4228652	validated
